44;221311
86;318142
124;327977
176;338348
218;344375
255;348599
287;355049
324;355776
368;359667
409;359536
449;361215
494;359423
531;363351
572;363191
634;362645
686;363642
734;365249
782;363384
818;363358
866;362344
903;365188
938;365295
973;365065
1008;365303
1041;363483
1074;365317
1109;365417
1142;365043
1175;365790
1209;363841
1242;365948
1276;364701
1310;364786
1345;364900
1381;364929
1417;365624
1452;365372
1487;365616
1523;366101
1559;365365
1597;365057
1634;365590
1670;365018
1706;366223
1741;365145
1779;365226
1817;365716
1854;366050
1892;365967
1928;365565
1965;364781
1997;365996
2034;364697
2069;365791
2106;366120
2145;365645
2184;365420
2223;366262
2260;366248
2296;366128
2331;366345
2370;365837
2407;366358
2444;366475
2481;366017
2518;365920
2556;366502
2592;366369
2628;366467
2661;366585
2699;366085
2738;365807
2774;366650
2811;366009
2846;366442
2883;366271
2918;366349
2956;366606
3003;366096
3046;366547
3092;366610
3128;366474
3165;366504
3204;366668
3241;366668
3280;366525
3318;366674
3356;366463
3393;366061
3430;366608
3464;365644
3500;366646
3534;366674
3568;366674
3604;366290
3637;366552
3671;366300
3707;365789
3745;366674
3783;366398
3822;366674
3859;366639
3896;366674
3933;366674
3970;366674
4009;366596
4047;366674
4085;366584
4124;366674
4161;366674
4198;366543
4236;366434
4273;366616
4310;366608
4346;366300
4382;366674
4416;366653
4452;366644
4489;366660
4525;366674
4560;366674
4595;366674
4630;366644
4666;366674
4702;366674
4737;366674
4773;366674
4809;366674
4844;366579
4879;366674
4913;366535
4949;366674
4983;366674
5019;366674
5052;366674
5086;366674
5121;366674
5157;366674
5192;366674
5228;366674
5262;366651
5296;366622
5332;366651
5369;366350
5406;366674
5443;366674
5482;366616
5519;366674
5558;366674
5597;366674
5634;366674
5670;366674
5708;366674
5745;366674
5784;366674
5822;366674
5860;366674
5900;366674
5939;366674
5979;366674
6017;366674
6056;366674
6094;366651
6132;366674
6168;366674
6206;366674
6244;366674
6281;366674
6317;366650
6355;366674
6392;366674
6427;366674
6464;366674
6501;366674
6540;366674
6574;366674
6609;366674
6645;366674
6681;366674
6717;366674
6753;366674
6791;366674
6827;366674
6862;366674
6897;366674
6933;366674
6967;366674
7003;366674
7039;366674
7075;366674
7111;366674
7146;366674
7181;366674
7219;366674
7256;366674
7291;366674
7327;366674
7363;366674
7399;366674
7437;366674
7476;366674
7515;366674
7552;366674
7590;366674
7628;366674
7665;366674
7703;366674
7741;366674
7777;366674
7812;366674
7848;366674
7885;366674
7921;366674
7958;366674
7994;366674
8032;366674
8068;366674
8105;366674
8142;366674
8178;366674
8216;366674
8254;366674
8290;366674
8325;366674
8360;366674
8396;366674
8433;366674
8471;366674
8509;366674
8550;366674
8593;366674
8636;366674
8675;366674
8715;366674
8751;366674
8789;366674
8829;366674
8867;366674
